question,answer,university
সাস্টের অরিয়েন্টেশন কবে হবে?,জানুয়ারি মাসেই হবার কথা  চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন সাস্ট অথবা চেক করুন  http://admission.sust.edu গিয়ে এডমিশন সেকশনে সার্চ করুন,SUST
সাস্টের বি১ এর নেক্সট ওয়েটিং কল কবে নাগাদ দিতে পারে?,চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন সাস্ট অথবা চেক করুন  http://admission.sust.edu গিয়ে এডমিশন সেকশনে সার্চ করুন,SUST
সাস্টে যাদেরকে কল করা হবে তাদের সবাইকেই কি ভর্তি হওয়ার সুযোগ দেওয়া হবে?,"হ্যাঁ। যাদেরকে কল করা হবে তাদের সবাই ভর্তি হতে পারবে। সেটা সিট খালি না থাকলেও। আরেকটা মজার ব্যাপার হলো, লাস্টের একটা মাত্র সিটের জন্য যদি একই মেরিট পজিশনে অনেকজন থাকে, তাহলে সিট বাড়িয়ে তাদের সবাইকেই ওই একটা সিটে ভর্তির সুযোগ দেওয়া হয়।",SUST
সাস্টের ক্লাস কি অরিয়েন্টেশনের পরপরই শুরু হয়ে যাবে?,বেশীরভাগ ডিপার্টমেন্টেই জানুয়ারির শেষের দিকে বা ফেব্রুয়ারির শুরুর দিকেই ক্লাস শুরু করে।,SUST
সাস্টের ক্লাস কবে শুরু হতে পারে?,বেশীরভাগ ডিপার্টমেন্টেই জানুয়ারির শেষের দিকে বা ফেব্রুয়ারির শুরুর দিকেই ক্লাস শুরু করে্‌,SUST
সিলেটে থাকা-খাওয়ার খরচ কী রকম?,মোটামোটি ৩০০০-৪০০০ টাকার ভেতরেই চালিয়ে নিতে পারবা।,SUST
সিলেটে টিউশনি করে কেমন টাকা পাওয়া যেতে পারে?,টিউশনির সংখ্যার উপর ডিপেন্ড করে। একটা টিউশনি থেকে ৩০০০-৪৫০০+ পর্যন্ত টাকা পাওয়া যায়। বাট আরো কম বা বেশী পাওয়াটাও অস্বাভাবিক কিছু না।,SUST
সাস্টে ফার্স্ট ইয়ারে হলে সিট পাওয়া যাবে?,হুম যাবে।,SUST
সাস্টে ভর্তি ক্যান্সেল করতে চাইলে কী করতে হবে?,সাস্টের রেজিস্টার অফিসে যোগাযোগ করতে হবে।,SUST
আমি সেকেন্ড টাইম ভর্তি পরীক্ষা দেবো। এদিকে আবার সাস্টে ভর্তি আছি। আমার এখন কী করণীয়?,পুরো সেমিস্টার ড্রপ দিয়ে রিএডমিশন নেওয়ার সুযোগ আছে। ডিপার্টমেন্টে আসলেই রিএডমিশন সম্পর্কিত সকল তথ্য এবং কন্ডিশন জানতে পারবা।,SUST
