question,answer,university,language
আমি মেডিকেলে সেকেন্ড টাইম দিতে ইচ্ছুক..কিন্তু আমার hsc রেজাল্ট 4.92.সেকেন্ড টাইমার হিসেবে আমার কাটবে 5 এবং রেজাল্ট এর 2 মোট কাটবে 5+2=7!আমি যদি এইবার ইম্প্রুভ দিয়ে প্লাস পাই তাহলেও কি আমার 5 কাটা যাবে?নাকি ইম্প্রুভ দিলে আমি পুরোপুরি 1st টাইমার হিসেবে গন্য হবো?,ইম্প্রুভ হলে মার্ক্স কাটবে না। বাট আমার মনে হয় তোমার ইম্প্রুভ দেয়া উচিত হবে না। এখন থেকেই সেকেন্ড টাইমের প্রেপ নাও। আমার ফ্রেন্ড এর ৯.২৫ কাটা গিয়ে বরিশাল মেডিতে আসছে সেকেন্ড টাইমে। সো ইম্প্রুভ না দিয়ে প্রেপ নেওয়া শুরু করে দাও সেকেন্ড টাইমের,medical,Bangla
এ বছর medical আর dental এ highest ও lowest score কত ছিলো?? ( জিপিএ ছাড়া)  আগামী বছর 2nd time থাকবে???,সেকেন্ড টাইম থাকবে বলেই ৫ নম্বর কাটার কথা বলা হয়েছে।জানি না অথোরিটি কি করবে,medical,Bangla
মেডিকেল ভর্তি পরীক্ষায় টোটাল ৯.৭২ নিয়ে চাঞ্চ পাওয়ার সম্ভাবনা কতটুকু?,খুব কম। কিন্তু চেষ্টা করা যায়। আমার বাড়ির পাশের একজন দুইটা A গ্রেড নিয়ে চাঞ্চ পাইছে। তারও প্রায় ৮ মার্ক কাটা গেছে।,medical,Bangla
আমি এবছর মেডিকেলের ফর্ম তুলিনি। কারন আমার রেজাল্টটা খারাপ হয়েছিল। তাই ইমপ্রুভ দিয়ে মেডিকেলে exam দিলে কি আমার ৫ মার্কস কাটা যাবে মানে আমি কি 2nd timer হয়ে যাবো?,Na,medical,Bangla
রয়েল গাইডের objective কি প্রতি বছর change হয়? পুরাতন গাইড সংগ্রহ করলে সমস্যা আছে কোনো?,নতুন টা বা এক বছরের পুরনো টা পড়তে পারেন,medical,Bangla
যে মেডিগুলা থেকে ফর্ম নেই নাই সেগুলা যদি সিট ফাকা থাকে তবে কি ফর্ম বাদে ভর্তি হওয়া যাবে??,হুম।সিট খালি থাকলে স্বাগতম জানিয়ে ভর্তি করাবে,medical,Bangla
ডেন্টাল এর ওয়েটিং লিস্ট কবে দিবে?,24 er por na dewar kotha cilo,medical,Bangla
HSC Exam হয়ে যাওয়ার পর কতদিন পর মেডিকেল এডমিশন এর জন্য কোচিং শুরু করতে হয়?,Amar exam ses howar 10-15 din ER moddhe coaching/private start hoiye jabe..ok,medical,Bangla
আর্মি মেডিকেল কলেজে ভর্তি হতে কত টাকা লাগবে???? আর খরচ কেমন???,ভর্তি হইতে ১৭ লাখ আর বের হতে মোট ২৭ লাখ,medical,Bangla
মেডিকেল প্রস্তুতির জন্য বায়োলজি (১ম এবং ২য় পত্র) কোন কোন লেখকের বই অধিক গুরুত্ব সহকারে পড়া ভালো হবে ?,1st paper gaji ajmol sirer boi porle hbe na,,,trpr abul hasan sirer porle.,medical,Bangla
Medical 2nd মাইগ্রেশনের রেজাল্ট কবে দিবে?,samner week dibe,medical,Bangla
English Text Book and Basic Grammar Part থেকে মেডিকেলে Question হয় কী ?,গ্রামার থেকে হয়.টেক্সট বুক থেকে কিছু আসে না,medical,Bangla
আমি যদি ইমপ্রুভ দিই...আর ইমপ্রুভ হয় এরপর কি আমি কি আর্ম ফোর্স মেডিকেলে এক্সাম দিতে পারব???? আর এখানে কি ... জিপিএ নাম্বার যত কম হবে তা কাটা যাবে????.,সেকেন্ড টাইমারদের ৫ মার্কস কাটে,medical,Bangla
আমি জীববিজ্ঞান ব্যাতীত বাকি সব বিষয়ে A+ পেয়েছি।জীববিজ্ঞান অপশনাল ছিলো।কিন্তু আমি ডাক্তার হতে চাই।সরকারি মেডিকেলে চান্স পেতে চাই।কোনো সমস্যা হবে ??,na,medical,Bangla
Inter এর physics চাপ্টার গুলোর বেসিক/থিওরি আছে কিন্তু math নেই এমন কোন বই আছে?যেটা পড়ে ফিজিক্স এর বেসিক সম্পর্কে ধারণা ক্লিয়ার হবে?,তপন স্যার এর বই টা বেষ্ট... থিওরি & ম্যাথ,medical,Bangla
AFMC তে চান্স পেতে হলে কিভাবে পড়তে হবে?? কোন কোন subject এর উপর এক্সাম হয়?? পড়ার step gulo kemon hote hobe??,GPA 10 thakle r afmc er xm a 80+ paile enough...,medical,Bangla
মেডিকেল এডমিশন প্রিপারেশনের জন্য বোর্ড বই এর সাথে ইংলিশ জিকে,বায়োলজি এর জন্য সহায়ক বইগুলোর নাম সাজেশট করলে উপকৃত হতাম।,বায়োলজির জন্য অবশ্যই আজমল স্যারের প্রাণীবিজ্ঞান আর আবুল হাসান স্যার এর উদ্ভিদবিজ্ঞান পড়বে।কেননা এ দুটিই সব থেকে জনপ্রিয় বই।এছাড়া ও আলীম স্যারের প্রাণীবিজ্ঞান ও আজিবুর স্যারের উদ্ভিদবিজ্ঞান পড়তে পার।এগুলোই পড়তে পার।সাথে বিগত বছরের প্রশ্ন তো মাস্ট পড়তে হবে। ইংরেজির জন্য অনেকে অনেক বই পড়ে।আমি এপেক্স এবং পি সি দাস এর বই এবং কারেন্ট এফেয়ারস থেকে বিশ্ববিদ্যালয় ভর্তির ইংরেজি ও সাধারণ জ্ঞান পড়েছিলাম।সাথে অবশ্যই কোচিং করে থাকলে কোচিং এর শিট বা প্রশ্ন অনুশীলন করবে। সাধারণ জ্ঞানের জন্য আমি রয়েল গাইডের সাধারণ জ্ঞান অংশ এবং আজকের বিশ্ব থেকে বিশ্ববিদ্যালয় এর সাধারণ জ্ঞান প্রশ্ন সলভ করেছিলাম।অনেকে মেডিজ্ঞানকোষ থেকেও পড়ে।,medical,Bangla
DDC থেকে এডমিট থেকে সেকেন্ড টাইম পরীক্ষা দিলে কত কাটা যাবে মার্ক?,7.5,medical,Bangla
Private medical r ফরম কি অনলাইনে ফিল আপ করা যায়?প্রত্যেকটা মেডিকেলে গিয়ে ফরম আনতে হয় কি???,Online a hoy na.hmm prottek medical theke form ante hobe,medical,Bangla
সেকেন্ড টাইমাররা কি কখনো DMC তে চান্স পায়?,সেকেন্ড টাইমাররাই বেশি পায়।,medical,Bangla
প্রাইভেট মেডিকেল সেন্ট্রাল মেডিকেল, শ্যামলী, ঢাকা। এটা কেমন হবে?,ভাল না তেমন,medical,Bangla
সেন্ট্রাল মেডিকেল ও সেন্ট্রাল ইন্টারন্যাশনাল মেডিকেল কলেজ কি আলাদা ভাইয়া?,nah..same,medical,Bangla
নার্সিং ভর্তির জন্য কোন বইটা পড়লে ভাল হবে?,Neuron special nursing admission guide,medical,Bangla
রসায়নের কোন কোন বিষয় গুলো মেডিকেল admission এ maximum আসে?,মেডিকেল এডমিশন এ রসায়ন সবচেয়ে আনপ্রেডিক্টেবল সাব্জেক্ট। যে কোনোখান থেকে যে কোনকিছু চলে আসতে পারে। পুরো সিলেবাস সমানভাবে আয়ত্তে রাখতে হবে।,medical,Bangla
মেডিকেলে কোনো প্রকার স্কলারশীপ দেয় কি না?,মেডিকেলে (MBBS) কোনো প্রকার স্কলারশীপ দেয় না।,medical,Bangla
