question,answer
জাবির c1 ইউনিটের চারুকলার ব্যবহারিক পরীক্ষার ফলাফল কবে প্রকাশিত হবে?,http://www.juniv.edu/program/3044
ক্লাস শুরু হবে কবে থেকে ?,http://www.juniv.edu/program/3044
জাবির  D ইউনিটে মোট কী কী বিষয় রয়েছে?,১) ফার্মেসী বিভাগ ২) প্রাণরসায়ন ও অনুপ্রাণ বিজ্ঞান বিভাগ ৩। মাইক্রোবায়োলজি বিভাগ ৪) বায়োটেকনোলজি এন্ড জেনেটিক ইঞ্জিনিয়ারি বিভাগ ৫) পাবলিক হেলথ্ এন্ড ইনফরমেটিক্স বিভাগ ৬। প্রাণিবিদ্যা বিভাগ ৭) উদ্ভিদবিজ্ঞান বিভাগ
জাবির  D ইউনিটে  আবেদনের ন্যূনতম যোগ্যতা?,বিজ্ঞান বিভাগ থেকে মাধ্যমিক ও উচ্চমাধ্যমিক উভয় পরীক্ষায় পৃথকভাবে সর্বনিম্ন জিপিএ ৩.৫০ পেতে হবে। মোট জিপিএ ৮.০০ উচ্চমাধ্যমিকে জীববিজ্ঞানে A- ( A মাইনাস )
জাবির  D ইউনিটে   মানবণ্টন ?,বাংলা + ইংরেজি = ৮ রসায়ন = ২৪ উদ্ভিদবিজ্ঞান – ২২ প্রাণিবিদ্যা – ২২ এবং বুদ্ধিমত্তা ( IQ ) – ৪
বিস্তারিত তথ্য ও প্রস্তুতির দিকনির্দেশনা ?,https://www.facebook.com/events/2228185630745149/permalink/2268395056724206/
সকল ইউনিটের MCQ পরীক্ষায় মোট পাশমার্ক ?,33%
"A, B, C, C1, D, E, H এবং I ইউনিট প্রশ্নপত্রের মাধ্যম ?",bangla
জিপিএ গণনা কিভাবে ?,(SSCX1.5) + (HSCX2.5)  মোটঃ ২০
"A, B, C, D, E, F, G, H এবং I ইউনিটের ব্যবহারিক হয়?",না।
ইংরেজিতে সি থাকলে কি আবেদন করা যাবে?,হ্যাঁ। শুধু বি ইউনিটের ভুগোল এবং সি ইউনিটের বাংলা সাবজেক্টের জন্য আবেদন করা যাবে। সায়েন্সের তিন ইউনিটে ইংরেজির আলাদা রিকোয়ারমেন্ট নাই
এসএসসি/এইচএসসি তে ৩.০০ থাকলে কোন ইউনিটে আবেদন করা যাবে?, C C1 I ইউনিটে আবেদন করতে পারবেন বাকি কনডিশন ফিলাপ করা সাপেক্ষে। তবে একটায় ৩.০০ হলে অন্যটায় ৫.০০ পেলেও আবেদন করতে পারবেন না। 
কত নাম্বার পেলে চান্স পাওয়া যাবে?,সকল ইউনিটেই ভর্তি পরীক্ষায় অন্তত ৬৫% নাম্বার না পেলে চান্স পাওয়ার সম্ভাবনা নেই। প্রশ্ন সহজ হলে অন্তত ৭০% লাগতে পারে। তবে এইচ ইউনিট মানে আইআইটি তে পড়তে হলে ১০০ তে ৮৫ পাওয়া লাগবে।
সিট কয়টা?,বড় ইউনিটগুলোতে ৩০০-৪০০ টা। ছোটগুলো যেমন আইন আইবিএ তে ৬০-৭০ টা থাকে। সবমিলিয়ে সিট ১৯৮৫ (কোটা বাদে)
জাবি এর  ইউনিটসমূহ ?," মোট ইউনিট ১০ টা,(A,B,C,C1,D,E,F,G,H,I) সাইন্স ইউনিট (A,D,H) বাট সাইন্স থেকে ১০ টা ইউনিটেই এক্সাম দিয়া যায়। মানবিক ইউনিট (C)+ আরও এক্সাম দিতে পারবা (B,C,E,F,G,I,c1) ইউনিটে। ব্যবসায় ইউনিট (E,G)+ আরও এক্সাম দিতে পারবা (B,C,F,I,c1) ইউনিটে। আইবিএ G ইউনিট। আইন ও বিচার F ইউনিট। নাটক ও নাট্যতত্ত্ব এবং চারুকলা C1 ইউনিট।"
