question,answer
বর্তমানে দেশে মোট ৯টি বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয় আছে?,"১➡শাহজালাল বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, সিলেট। ২➡মাওলানা ভাসানী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, টাঙ্গাইল। ৩➡হাজী দানেশ বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, দিনাজপুর। ৪➡বঙ্গবন্ধু শেখ মুজিবুর রহমান বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, গোপালগঞ্জ। ৫➡নোয়াখালী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, নোয়াখালী। ৬➡পাবনা বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, পাবনা। ৭➡পটুয়াখালী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, পটুয়াখালী। ৮➡যশোর বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, যশোর। ৯➡ রাঙ্গামাটি বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, রাঙ্গামাটি।"
সাস্টে কি সেকেন্ড টাইম পরীক্ষা দেয়া যায় ?,হ্যাঁ
সাস্টে কি দ্বিতীয় বার পরীক্ষা দেয়া যায় ?,হ্যাঁ
সাস্টে কি দ্বিতীয় বার এক্সাম দেয়া যায় ?,হ্যাঁ
সাস্টে কি সেকেন্ড টাইম এক্সাম দেয়া যায় ? ,হ্যাঁ
বাংলাদেশের কোন কোন বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়ে দ্বিতীয় বার পরীক্ষা দেয়া যায় ?,"১.শাহজালাল বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, সিলেট। ২.মাওলানা ভাসানী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, টাঙ্গাইল। ৩.হাজী দানেশ বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, দিনাজপুর। ৪.বঙ্গবন্ধু শেখ মুজিবুর রহমান বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, গোপালগঞ্জ। ৫➡নোয়াখালী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, নোয়াখালী। ৬➡পাবনা বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, পাবনা। ৭➡পটুয়াখালী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, পটুয়াখালী। ৮➡যশোর বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, যশোর। ৯➡ রাঙ্গামাটি বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়, রাঙ্গামাটি।"
সাস্টে ভর্তি পরীক্ষায় বারতি কি সুবিধা পাওয়া যায় ?,শাবিপ্রবি সম্পর্কে পাঁচটি অতিরিক্ত সুবিধাঃ১) প্রতিটি এমসিকিউ করতে সময় পাবে দুই থেকে তিন মিনিট যা অন্য কোন বিশ্ববিদ্যালয় ভর্তি পরীক্ষায় পাবে না;২) সায়েন্টিফিক ক্যালকুলেটর ব্যবহার করা যাবে;৩) রাফ করার জন্য সাদা কাগজ দেয়া হবে যা সিংহভাগ বিশ্ববিদ্যালয় ভর্তি পরীক্ষায় দেয়া হয় না;৪) ৩৫/৭০ পেলেই চান্স অনেকটা কনফার্ম। ৪৫ থেকে ৫০ পেলেই পছন্দের বিষয়টিতে অধ্যয়ণ করা সম্ভব।৫) দূর্নীতি-অনিয়মের সম্ভাবনা শূন্য প্রায়। সেট কোড হয় প্রায় ১০০ টির মতো।
বিশ্ববিদ্যালয়ে চান্স পেতে কত মার্কস পেতে হবে?,"বিগত বছরগুলোর ধারাবাহিকতায় দেখা যায় বুয়েট, মেডিক্যাল, ঢাবি সহ প্রায় সকল বিশ্ববিদ্যালয়েই গড়ে শতকরা (+ -) ৬৫ ভাগ বা তার চেয়ে কম নম্বর পেয়ে চান্স পাওয়া যায়।"
সাস্টের A ইউনিটে কোন কোন ডিপার্টমেন্ট আছে ?,cheack https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/
সাস্টের B1 ইউনিটে কোন কোন ডিপার্টমেন্ট আছে ?,check https://www.facebook.com/SUST-Admission-Test-Help-Center-488659157932281/
