question,answer,university
SUST special kono admission book thakle bolben,যেকোনো এক দুইটা বই এর বেসিক ভালো করে ক্লিয়ার করো তাইলেই এনাফ,SUST
SUST Architecture er exam e ki dhoroner drawing dey???,"ফ্রি হ্যান্ড ড্রয়িং এ 2D composition, 1 or 2 point perspective, figure drawing, poster/book cover design এ টাইপ ড্রয়িং আসে",SUST
amar ssc te 4th sub agriculture study r hsc te 4th sub higher math.ami SUST er B unit e apply korte parbo???,হুম পারবেন,SUST
SUST A unit er jonno kun boi kinle valo hobe,যেকোনো এক দুইটা বই এর বেসিক ভালো করে ক্লিয়ার করো তাইলেই এনাফ ,SUST
SUST a 2nd timerder koto mark kata hoy and A unit ar jonno ki ki boi follow korte pari aktu bolben please?, চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন সাস্ট অথবা চেক করুন  http://admission.sust.edu গিয়ে এডমিশন সেকশনে সার্চ করুন এবং যেকোনো এক দুইটা বই এর বেসিক ভালো করে ক্লিয়ার করো তাইলেই এনাফ,SUST
"jodi admission er jonno kothaw coaching na kori,tobe basay kivabe porle SUST e chance pawar probability thakbe??",যেকোনো এক দুইটা বই এর বেসিক ভালো করে ক্লিয়ার করো তাইলেই এনাফ,SUST
SUST e engineering subject a chance paoyaor jonno 70 er moddhe koto marks paite hobe?,এটা আসলে বলা সম্ভব না তবে ৭০% কারেক্ট হলে প্রবাবিলিটি ভালই থাকে,SUST
SUST A unit ar jonno ki ki boi follow korte pari aktu bolben please,যেকোনো এক দুইটা বই এর বেসিক ভালো করে ক্লিয়ার করো তাইলেই এনাফ ,SUST
SUST e ki calculator use kora jabe / kun model er calculator use kora hoy??,চোখ রাখুন https://www.admissionwar.com/ এবং সার্চ করুন সাস্ট অথবা চেক করুন  http://admission.sust.edu গিয়ে এডমিশন সেকশনে সার্চ করুন,SUST
SUST e math korar jonne ki extra paper dewa hobe??,হুম। তোমাকে এক্সাম হলে এক্সট্রা পেপার দেয়া হবে।,SUST
SUST A unit Science er waiting list ki 350+ Hobar kunu possibility ache!!,এইটা একেক বছর একেক রকম হয় তারপরেও খোজ রাখবেন ,SUST
